OpSys_No OS,company_MSI,CPU_BRAND_AMD,CPU_BRAND_Intel,GPU_BRAND_Intel,GPU_BRAND_AMD,company_Acer,Weight,Memory_Type_Flash,typeName_Workstation,typeName_Ultrabook,GPU_BRAND_Nvidia,typeName_Gaming,Memory_Type_HDD,CPU_FREQUENCY,Memory_Type_SSD,typeName_Notebook,ScreenHeight,ScreenWidth,Ram,Price_euros
0,0,0,1,1,0,0,1.37,0,0,1,0,0,0,2.3,1,0,1600,2560,8,1339.69
0,0,0,1,1,0,0,1.34,1,0,1,0,0,0,1.8,0,0,900,1440,8,898.94
1,0,0,1,1,0,0,1.86,0,0,0,0,0,0,2.5,1,1,1080,1920,8,575.0
0,0,0,1,0,1,0,1.83,0,0,1,0,0,0,2.7,1,0,1800,2880,16,2537.45
0,0,0,1,1,0,0,1.37,0,0,1,0,0,0,3.1,1,0,1600,2560,8,1803.6
0,0,1,0,0,1,1,2.1,0,0,0,0,0,1,3.0,0,1,768,1366,4,400.0
0,0,0,1,1,0,0,2.04,1,0,1,0,0,0,2.2,0,0,1800,2880,16,2139.97
0,0,0,1,1,0,0,1.34,1,0,1,0,0,0,1.8,0,0,900,1440,8,1158.7
0,0,0,1,0,0,0,1.3,0,0,1,1,0,0,1.8,1,0,1080,1920,16,1495.0
0,0,0,1,1,0,1,1.6,0,0,1,0,0,0,1.6,1,0,1080,1920,8,770.0
1,0,0,1,1,0,0,1.86,0,0,0,0,0,1,2.5,0,1,768,1366,4,393.9
1,0,0,1,1,0,0,1.86,0,0,0,0,0,1,2.0,0,1,1080,1920,4,344.99
0,0,0,1,0,1,0,1.83,0,0,1,0,0,0,2.8,1,0,1800,2880,16,2439.97
0,0,0,1,0,1,0,2.2,0,0,0,0,0,0,2.0,1,1,1080,1920,4,498.9
0,0,0,1,1,0,0,0.92,0,0,1,0,0,0,1.2,1,0,1440,2304,8,1262.4
0,0,0,1,1,0,0,1.37,0,0,1,0,0,0,2.3,1,0,1600,2560,8,1518.55
0,0,0,1,0,1,0,2.2,0,0,0,0,0,0,2.7,1,1,1080,1920,8,745.0
0,0,0,1,0,1,0,1.83,0,0,1,0,0,0,2.9,1,0,1800,2880,16,2858.0
1,0,0,1,0,0,0,2.2,0,0,0,1,0,1,2.4,0,1,1080,1920,8,499.0
0,0,0,1,1,0,0,1.22,0,0,1,0,0,0,1.6,1,0,1080,1920,8,979.0
0,0,0,1,1,0,0,0.98,1,0,0,0,0,0,1.44,0,0,768,1366,2,191.9
0,0,0,1,0,0,0,2.5,0,0,0,1,1,0,2.5,1,0,1080,1920,8,999.0
1,0,1,0,0,1,0,1.86,0,0,0,0,0,1,1.5,0,1,768,1366,4,258.0
0,0,0,1,1,0,0,1.62,0,0,0,0,0,0,1.6,1,0,1080,1920,8,819.0
0,0,0,1,1,0,0,1.91,0,0,1,0,0,0,1.8,1,0,1080,1920,8,659.0
0,0,0,1,1,0,0,2.3,0,0,0,0,0,1,2.0,0,1,768,1366,4,418.64
0,0,0,1,1,0,0,1.35,1,0,1,0,0,0,1.6,0,0,900,1440,8,1099.0
0,0,0,1,0,1,0,2.2,0,0,0,0,0,0,1.6,1,1,1080,1920,8,800.0
0,0,0,1,1,0,0,1.88,0,0,1,0,0,0,1.9,1,0,1080,1920,8,1298.0
0,0,0,1,0,0,0,2.5,0,0,0,1,0,1,1.6,0,1,1080,1920,8,896.0
0,0,0,1,1,0,0,1.89,1,0,0,0,0,0,1.44,0,1,1080,1920,4,244.99
0,0,1,0,0,1,0,1.65,1,0,0,0,0,0,1.5,0,1,768,1366,2,199.0
0,0,1,0,0,1,0,2.71,0,0,0,0,0,1,2.5,0,1,1080,1920,4,439.0
0,0,0,1,1,0,0,1.2,0,0,1,0,0,0,1.8,1,0,1800,3200,16,1869.0
0,0,0,1,1,0,0,1.35,1,0,1,0,0,0,1.6,0,0,900,1440,8,998.0
0,0,0,1,1,0,0,1.44,1,0,0,0,0,0,1.1,0,1,768,1366,4,249.0
0,0,0,1,1,0,1,2.1,0,0,0,0,0,1,2.7,0,1,768,1366,4,367.0
0,0,0,1,0,1,0,2.8,0,0,0,0,0,0,1.6,1,1,1080,1920,8,979.0
0,0,0,1,1,0,0,1.86,0,0,0,0,0,1,2.5,0,1,768,1366,4,488.69
0,0,0,1,0,0,0,2.1,0,0,0,1,0,0,1.6,1,1,1080,1920,8,879.0
0,0,0,1,1,0,0,2.0,0,0,0,0,0,1,2.0,0,1,1080,1920,4,389.0
0,0,0,1,0,0,0,2.65,0,0,0,1,1,0,2.8,1,0,1080,1920,16,1499.0
0,0,0,1,0,0,0,2.3,0,0,0,1,0,1,2.5,0,1,768,1366,8,522.99
0,0,0,1,1,0,1,2.2,0,0,0,0,0,0,1.6,1,1,1080,1920,4,682.0
0,0,0,1,0,0,0,2.77,0,0,0,1,0,1,1.6,0,0,1080,1920,12,999.0
0,0,0,1,1,0,0,1.37,0,0,1,0,0,0,2.0,1,0,1600,2560,8,1419.0
1,0,0,1,1,0,0,2.2,0,0,0,0,0,0,2.0,1,1,768,1366,4,369.0
0,0,1,0,0,1,0,3.2,0,0,0,0,1,0,3.0,1,0,1080,1920,8,1299.0
0,0,0,1,0,1,0,2.3,0,0,0,0,0,0,2.5,1,1,1080,1920,4,639.0
0,0,0,1,0,0,0,2.8,0,0,0,1,0,1,1.1,0,1,768,1366,4,466.0
0,0,0,1,1,0,0,0.69,1,0,0,0,0,0,1.44,0,0,1200,1920,4,319.0
0,0,0,1,0,0,1,2.2,0,0,0,1,0,0,1.8,1,1,1080,1920,8,841.0
0,0,1,0,0,1,0,1.86,0,0,0,0,0,0,2.5,1,1,1080,1920,4,398.49
0,0,0,1,1,0,0,1.49,0,0,0,0,0,0,1.8,1,1,1080,1920,8,1103.0
0,0,0,1,1,0,1,2.4,0,0,0,0,0,1,2.4,0,1,768,1366,4,384.0
0,0,0,1,0,1,0,2.13,0,0,0,0,0,0,1.8,1,1,1080,1920,8,767.8
0,0,0,1,1,0,0,1.91,0,0,0,0,0,0,2.0,1,1,1080,1920,4,439.0
0,0,0,1,1,0,0,2.0,0,0,0,0,0,0,2.5,1,1,768,1366,4,586.19
0,1,0,1,0,0,0,2.43,0,0,0,1,1,0,2.8,1,0,1080,1920,16,2449.0
0,0,0,1,1,0,0,2.0,0,0,0,0,0,0,2.0,1,1,1080,1920,4,415.0
0,0,0,1,0,1,0,2.8,0,0,0,0,0,0,1.8,1,1,1080,1920,16,1299.0
0,0,0,1,1,0,0,1.7,0,0,1,0,0,0,1.6,1,0,1080,1920,8,879.0
1,0,0,1,1,0,0,1.7,0,0,0,0,0,0,2.7,1,1,1080,1920,8,599.0
0,0,0,1,1,0,0,1.4,0,0,0,0,0,0,1.6,1,1,1080,1920,8,941.0
0,0,0,1,1,0,0,1.86,0,0,0,0,0,0,2.5,1,1,1080,1920,8,690.0
0,0,0,1,0,0,0,1.8,0,0,1,1,0,0,2.8,1,0,1080,1920,16,1983.0
0,0,0,1,0,1,0,1.86,0,0,0,0,0,1,2.0,0,1,768,1366,4,438.69
0,0,0,1,1,0,0,1.44,0,0,0,0,0,0,1.6,1,1,768,1366,4,229.0
0,0,0,1,1,0,0,1.9,0,0,0,0,0,1,2.5,0,1,1080,1920,4,549.0
0,0,0,1,0,0,0,3.0,0,0,0,1,1,1,2.8,0,0,1080,1920,12,949.0
0,0,0,1,1,0,0,1.252,0,0,1,0,0,0,2.5,1,0,1504,2256,4,1089.0
0,0,0,1,0,1,0,1.4,0,0,1,0,0,0,1.8,1,0,1080,1920,8,955.0
0,0,0,1,0,1,0,2.2,0,0,0,0,0,0,1.8,1,1,1080,1920,8,870.0
0,1,0,1,0,0,0,2.7,0,0,0,1,1,0,2.5,1,0,1080,1920,8,1095.0
0,0,0,1,1,0,1,2.1,0,0,0,0,0,1,2.0,0,1,768,1366,8,389.0
0,0,0,1,0,0,0,2.2,0,0,0,1,1,1,2.8,0,0,1080,1920,8,949.0
1,0,0,1,1,0,0,2.2,0,0,0,0,0,1,2.5,0,1,1080,1920,8,519.0
0,0,0,1,1,0,0,2.02,0,0,0,0,0,0,1.8,1,1,1080,1920,8,855.0
0,0,0,1,0,0,1,2.2,0,0,0,1,0,1,2.7,0,1,1080,1920,4,530.0
0,0,0,1,0,0,0,2.5,0,0,0,1,0,0,1.6,1,1,1080,1920,8,977.0
0,0,0,1,1,0,0,1.88,0,0,1,0,0,0,1.6,1,0,1080,1920,8,1096.16
0,0,0,1,1,0,0,0.92,0,0,1,0,0,0,1.3,1,0,1440,2304,8,1510.0
0,0,0,1,1,0,0,1.63,0,0,0,0,0,0,1.6,1,1,1080,1920,8,860.0
0,0,1,0,0,1,0,2.2,0,0,0,0,0,0,2.5,1,1,1080,1920,4,399.0
0,0,1,0,0,1,1,2.1,0,0,0,0,0,1,3.0,0,1,768,1366,4,395.0
